"name","origin","threat","speakers","lat","lon","desc"
"South Italian","Italy","Vulnerable","7500000",40.9798,15.249,"Campania, Lucania (Basilicata), Abruzzi (Abruzzo), Molise, northern Calabria, northern and central Apulia (Puglia), southern Lazio and Marche as well as easternmost Umbria"
"Sicilian","Italy","Vulnerable","5000000",37.4399,14.5019,"Sicily (Sicilia), southern and central Calabria and southern Apulia (Puglia); a large number of í©migrí© communities"
"Low Saxon","Germany, Denmark, Netherlands, Poland, Russian Federation","Vulnerable","4800000",53.4029,10.3601,"northern Germany, the north-eastern part of the Netherlands, border regions of Denmark and Poland; í©migrí© communities in the Russian Federation and elsewhere"
"Belarusian","Belarus, Latvia, Lithuania, Poland, Russian Federation, Ukraine","Vulnerable","4000000",53.956,27.5756,"Belarus except the Polesian-speaking south-west as well as adjacent regions of neighbouring countries"
"Lombard","Italy, Switzerland","Definitely endangered","3500000",45.7215,9.3273,"the region of Lombardy (except the southernmost border areas) and the Novara province in Piedmont, Italy; Ticino Canton and the Mesolcina District and two districts south of St. Moritz in Graubí_nden (Grigioni), Switzerland"
"Romani","Albania, Germany, Austria, Belarus, Bosnia and Herzegovina, Bulgaria, Croatia, Estonia, Finland, France, Greece, Hungary, Italy, Latvia, Lithuania, The former Yugoslav Republic of Macedonia, Netherlands, Poland, Romania, United Kingdom of Great Britain and Northern Ireland, Russian Federation, Slovakia, Slovenia, Switzerland, Czech Republic, Turkey, Ukraine, Serbia, Montenegro","Definitely endangered","3500000",46.3165,22.3681,"many European countries, most densely in East-Central and Eastern Europe and in the Balkans"
"Yiddish (Israel)","Israel","Definitely endangered","3000000",32.0833,34.8333,"most speakers now live outside Europe, mainly in North America and Israel; cf. Yiddish (Europe)"
"Gondi","India","Vulnerable","2713790",19.5804,80.4418,"Madhya Pradesh (Betul, Chhindwara, Seoni, Mandla, Balaghat), Maharashtra (Amravati, Wardha, Nagpur, Bhandara, Yavatmal); also in Andhra Pradesh and Orissa"
"Limburgian-Ripuarian","Germany, Belgium, Netherlands","Vulnerable","2600000",50.7781,6.0864,"Limburg provinces in Belgium and the Netherlands and Rhineland in Germany"
"Quechua of Southern Bolivia","Bolivia (Plurinational State of)","Vulnerable","2300000",-18.0675,-65.7641,"Departments of Cochabamba, Chuquisaca, Potosí_ and Oruro in Bolivia."
"Kumaoni","India, Nepal","Vulnerable","2003783",29.4778,79.8486,"Uttarakhand, also in Uttar Pradesh, Madhya Pradesh, Assam and Bihar; also in Nepal"
"Aymara","Bolivia (Plurinational State of), Chile, Peru","Vulnerable","2000000",-16.5835,-68.302,"Departamentos  de Puno,  Moquegua y Tacna, en el Perí_. Area del lago Titicaca, donde se  incluye tambií©n el Altiplano boliviano.
In Bolivia: departments of La Paz, Oruro, Potosí_ and Cochabamba.
In Chile: Province of Tarapacíç (interior of Arica, Iquique)."
"Emilian-Romagnol","Italy, San Marino","Definitely endangered","2000000",44.127,12.0739,"the region of Emilia-Romagna, parts of the provinces of Pavia, Voghera, and Mantua in southern Lombardy, the Lunigiana district in northwestern Tuscany, the Pesaro-Urbino province in the region of Marche and the Republic of San Marino"
"Piedmontese","Italy","Definitely endangered","2000000",45.2013,7.8662,"Piedmont Region except the Novara Province, the western Alpine valleys and southern border areas, as well as minor adjacent areas"
"Venetan","Croatia, Italy, Slovenia","Vulnerable","2000000",45.4601,12.1948,"Veneto region, parts of Friuli-Venezia Giulia, Italy; Istria in both Slovenia and Croatia"
"Zazaki","Turkey","Vulnerable","2000000",38.8824,40.4846,"Tunceli, Erzincan, ElazÛ±Ûô and Bingí_l provinces, HÛ±nÛ±s district of Erzurum Province, the eastern parts of Sivas Province, Varto district of Muô Province, SarÛ±z district of Kayseri Province, the northern and western parts of DiyarbakÛ±r Province, Siverek district of _anlÛ±urfa Province as well as small areas in adjacent provinces. Many immigrants in Europe."
"Kurux (India)","India","Vulnerable","1751489",22.1467,85.2758,"Jharkhand and Bihar"
"Tamajeq","Niger","Vulnerable","1750000",17.2352,8.0859,""
"Tulu","India","Vulnerable","1722768",12.0178,75.7067,"Karnataka, Andhra Pradesh, Kerala"
"Kangdi","India","Definitely endangered","1700000",32.4356,76.1242,"Himachal Pradesh"
"Scots","United Kingdom of Great Britain and Northern Ireland","Vulnerable","1500000",56.2189,-3.7683,"Lowland Scotland and adjacent parts of England; í©migrí© communities in Ireland"
"Torlak","Albania, Bulgaria, The former Yugoslav Republic of Macedonia, Romania, Serbia","Vulnerable","1500000",42.9644,22.1374,"the core area: south-eastern Serbia, the westernmost parts of Bulgaria, the north-eastern region of the FYROM and, at least until recently, parts of southern Kosovo (Serbia); Goran: the border region of Kosovo, Albania and the FYROM; Janjev: south-eastern Kosovo (Serbia), from where most speakers have emigrated to Croatia; Krashovan: the region of Caraôova in Caraô-Severin County in the Romanian Banat"
"West Flemish","Belgium, France, Netherlands","Vulnerable","1500000",51.0275,3.0541,"the province of Zealand, the Netherlands; West Flanders, Belgium; and French Flanders, where definitively if not severely endangered"
"Bashkir","Russian Federation","Vulnerable","1379727",54.7309,55.9863,"the Republic of Bashkortostan and adjacent regions"
"Chechen","Russian Federation","Vulnerable","1331844",43.1971,45.7031,"the Republic of Chechenia and adjacent regions"
"Chuvash","Russian Federation","Vulnerable","1325382",56.1394,47.2412,"Chuvash Republic and adjacent regions"
"Meithei","India","Vulnerable","1250000",24.7667,93.8946,"Manipur (throughout, but concentrated in the Manipur valley)
 "
"Tamang","India, Nepal","Vulnerable","1196639",27.7365,85.6858,"Dispersed throughout central and eastern hills of Nepal. BÛgmatÛ, NÛrÛyaà_Û and Janakpur zones, in KÛbhrepÛlaí±cok, MakvÛnpur, SIndhupÛlcok, NuvÛkoà__, DhÛdià_, SindhulÛ, RÛmechÛp, BagmatÛ, DolakhÛ and RasuvÛ districts. Also found in India (Sikkim)."
"Quechua of Cuzco","Peru","Vulnerable","1115000",-13.4537,-72.0098,"Cuzco, partes de  Arequipa, Puno, Apurí_mac (Abancay), Moquegua (Ubinas)."
"Eastern Slovak","Slovakia, Ukraine","Vulnerable","1000000",48.8068,21.7968,"Spiç, æariç, Zemplí_n and Abov regions in eastern Slovakia; a regional language not recognized by the SIL"
"Ligurian","France, Italy, Monaco","Definitely endangered","1000000",44.5748,8.7011,"Liguria and adjacent areas of Piedmont, Emilia and Tuscany, Italy; the villages of Tende, La Brigue, Fontan, Saorge, Breil-sur-Roya in the eastern corner of the department of Alpes-Maritimes, France; settlements in the towns of Carloforte on the San Pietro island and Calasetta on the Santäó»Antioco island off the southwest coast of Sardinia, Italy, as well as in the town of Bonifacio in Corsica; until the twentieth century also Monaco, where Ligurian is still used and studied as a second language, and the villages of Biot, Vallauris, Mons and Escragnoles in the department of Alpes-Maritimes, France"
"Rusyn","Hungary, Poland, Romania, Slovakia, Ukraine","Vulnerable","1000000",48.4437,22.9394,"Trans-Carpathian region of Ukraine"
"Talysh","Azerbaijan, Iran (Islamic Republic of)","Vulnerable","1000000",38.814,48.6804,"the northern regions of Gilan and Ardabil provinces, Iran; the southernmost parts of Azerbaijan"
"Kui","India","Vulnerable","916222",19.5908,83.9575,"Orissa (Phulbani, Koraput, Ganjam); also in Andhra Pradesh and Madhya Pradesh"
"Khasi","India","Vulnerable","912000",25.691,91.8676,"eastern half of Meghalaya"
"Bodo","India","Vulnerable","900000",26.7554,92.8674,"north bank of the Brahmaputra, Sonitpur and Darrang districts"
"Campidanese","Italy","Definitely endangered","900000",39.2991,8.9868,"southern Sardinia"
"K'iche' (Guatemala)","Guatemala","Vulnerable","890596",15.0309,-91.1485,"Among the localities listed in the Ethnologue: El Quichí© dept., Quetzaltenango, Cuní©n, Chichicastenango, Joyabaj, San Andrí©s Sajeabajíç, Atitlíçn in Quetzaltenango dept.; Totinicapíçn dept, Santa Cruz Quichí©"
"Quechua of Ayacucho","Peru","Definitely endangered","850000",-13.1276,-74.2071,"Departamentos de Ayacucho, Huancavelica y partes de  Apurimac y Arequipa."
"Newar","Nepal","Definitely endangered","825458",27.6981,85.3198,"Kathmandu valley"
"Mon","Myanmar, Thailand","Vulnerable","800000",16.4666,97.7833,""
